"음악번호","곡제목","아티스트","앨범","발매일","작곡가","작사가"
"1","After LIKE","IVE (아이브)","After LIKE","2022.08.22","RYAN JHUN","서지음"
"2","Attention","NewJeans","NewJeans 1st EP 'New Jeans'","2022.08.01","250","Gigi"
"3","Pink Venom","BLACKPINK","Pink Venom","2022.08.19","TEDDY","TEDDY"
"4","Hype boy","NewJeans","NewJeans 1st EP 'New Jeans'","2022.08.01","250","Gigi"
"5","FOREVER 1","소녀시대 (GIRLS' GENERATION)","FOREVER 1 - The 7th Album","2022.08.05","KENZIE","KENZIE"
"6","LOVE DIVE","IVE (아이브)","LOVE DIVE","2022.04.05","Sophia Brennan","서지음"
"7","그때 그 순간 그대로 (그그그)","WSG워너비 (가야G)","WSG워너비 1집","2022.07.09","김도훈 (RBW)","김도훈 (RBW)"
"8","보고싶었어","WSG워너비 (4FIRE)","WSG워너비 1집","2022.07.09","조영수","조영수"
"9","Cookie","NewJeans","NewJeans 1st EP 'New Jeans'","2022.08.01","Jinsu Park","Gigi"
"10","SNEAKERS","ITZY (있지)","CHECKMATE","2022.07.15","Didrik Thott","FRIDAY. (GALACTIKA *)"
"11","사랑은 늘 도망가","임영웅","신사와 아가씨 OST Part.2","2021.10.11","홍진영","강태규"
"12","TOMBOY","(여자)아이들","I NEVER DIE","2022.03.14","소연","소연"
"13","그라데이션","10CM","5.3","2022.07.03","10CM","10CM"
"14","POP!","나연 (TWICE)","IM NAYEON","2022.06.24","KENZIE","이스란"
"15","우리들의 블루스","임영웅","IM HERO","2022.05.02","이승주","지훈"
"16","정이라고 하자 (Feat. 10CM)","BIG Naughty (서동현)","정이라고 하자","2022.04.20","TOIL","BIG Naughty (서동현)"
"17","사랑인가 봐","멜로망스","사랑인가 봐 (사내맞선 OST 스페셜 트랙)","2022.02.18","멜로망스","김민석 (멜로망스)"
"18","나의 X에게","경서","나의 X에게","2022.04.24","이래언","이래언"
"19","That That (prod. & feat. SUGA of BTS)","싸이 (PSY)","싸다9","2022.04.29","SUGA","싸이 (PSY)"
"20","도깨비불 (Illusion)","aespa","Girls - The 2nd Mini Album","2022.06.01","G'harah 'PK' Degeddingseze","이토르 (라라라스튜디오)"
"21","다시 만날 수 있을까","임영웅","IM HERO","2022.05.02","이적","이적"
"22","내가 아니라도","주호","내가 아니라도","2022.03.25","주호","주호"
"23","ELEVEN","IVE (아이브)","ELEVEN","2021.12.01","Peter Rycroft (aka Lostboy)","서지음"
"24","Girls","aespa","Girls - The 2nd Mini Album","2022.07.08","RYAN JHUN","YOO YOUNG JIN"
"25","이제 나만 믿어요","임영웅","내일은 미스터트롯 우승자 특전곡","2020.04.03","조영수","김이나"
"26","Love story","볼빨간사춘기","Seoul","2022.04.20","안지영","안지영"
"27","FEARLESS","LE SSERAFIM (르세라핌)","FEARLESS","2022.05.02","Score (13)","Score (13)"
"28","무지개","임영웅","IM HERO","2022.05.02","멧돼지","김시온"
"29","해요 (2022)","#안녕","해요 (2022)","2022.06.07","박광현","유유진"
"30","LOVE me","BE'O (비오)","LOVE me","2022.04.12","BE'O (비오)","BE'O (비오)"
"31","아버지","임영웅","IM HERO","2022.05.02","우지민","우지민"
"32","취중고백","김민석 (멜로망스)","취중고백","2021.12.19","김희탐","김희탐"
"33","봄여름가을겨울 (Still Life)","BIGBANG (빅뱅)","봄여름가을겨울 (Still Life)","2022.04.05","KUSH (쿠시)","G-DRAGON"
"34","A bientot","임영웅","IM HERO","2022.05.02","gong (공)","gong (공)"
"35","사랑한다고 말해줘","탑현","사랑한다고 말해줘","2022.08.07","윤일진","윤일진"
"36","That's Hilarious","Charlie Puth","Smells Like Me","2022.04.08","Charlie Puth","Charlie Puth"
"37","손이 참 곱던 그대","임영웅","IM HERO","2022.05.02","김현우","포레스코 (Foresko)"
"38","통화연결음","보라미유 & MJ(써니사이드)","통화연결음","2022.08.14","정성헌","김영아"
"39","사랑해 진짜","임영웅","IM HERO","2022.05.02","Jisoo Park (153/Joombas)","Jisoo Park (153/Joombas)"
"40","다정히 내 이름을 부르면","경서예지 & 전건호","다정히 내 이름을 부르면 (경서예지 x 전건호)","2021.05.19","한상원","한상원"
"41","내 기쁨은 너가 벤틀리를 끄는 거야","김승민","PROTOTYPE RESEARCH #0063","2021.10.19","김승민","김승민"
"42","인생찬가","임영웅","IM HERO","2022.05.02","윤명선","윤명선"
"43","너의 모든 순간","성시경","별에서 온 그대 OST Part.7","2014.02.12","성시경","심현보"
"44","Talk that Talk","TWICE (트와이스)","BETWEEN 1&2","2022.08.26","이우민 'collapsedone'","danke (lalala studio)"
"45","연애편지","임영웅","IM HERO","2022.05.02","송봉주 (자전거 탄 풍경)","송봉주 (자전거 탄 풍경)"
